"mms_id","barcode","signature","location","urns","snISBN","snISSN","volumeNumber","languages","main_title","sub_title","related_title","countryCodes","persons","corperations","publishers","placesOfPublication","yearOfPublication","dateOfPublication","Subjects","GND-Links","gndReferences","classifications","contentInformations","physicalPages","illustrations","physicalFormat","sequence","urls","idnr"
"990049566170603338","+Z171377605","F 015687-A.Kopie","ALT FLUG","","","","","ger","Herr Minister! Die durch die Constitution garantierte volksthümliche Wiederbelebung des Justizwesens durch Einführung der Oeffentlichkeit und Mündlichkeit des gerichtlichen Verfahrens ...","[Wien den Mai 1848]","Konstitution","XA-AT, XA-AAAT","","","","[S.l.]","1848","","Wien, Revolution, Flugblatt","http://d-nb.info/gnd/4066009-6, http://d-nb.info/gnd/4049688-0","","BASISKLASSIFIKATION: 15.60","Flugblatt: Wien Mai 1848, Einblattdruck, zweiseitig bedr., Das sind die braven Arbeiter! die auf den Hülferuf ihrer Brüder, der Studenten, sogleich herbeielen, um mit Blut und Leben für sie einzustehen ...","[1] Bl.","","","","http://data.onb.ac.at/dtl/6918040","AC13325366"
"990049633380603338","+Z17137690X","F 015702-B","ALT FLUG","","","","","ger","Allgemeine Theaterzeitung","Central-Organ für alle Erscheinungen des Tages, im Leben, im Fortschritt der Zeit, in Kunst und Wissenschaft, in der Literatur, im Bereiche der Intelligenz, der Industrie, des Handels u. s. w.","Zentral-Organ Zentralorgan Centralorgan","XA-AT, XA-AAAT","Bäuerle, Adolf","","Verleger: J. P. Sollinger","Wien","1848-","","Wien, Geschichte 1848, Zeitung, Revolution, Politische Berichterstattung, Theater, Literatur, Industrie, Handel","http://d-nb.info/gnd/4066009-6, http://d-nb.info/gnd/4049688-0, http://d-nb.info/gnd/4115582-8, http://d-nb.info/gnd/4059702-7, http://d-nb.info/gnd/4035964-5, http://d-nb.info/gnd/4026779-9, http://d-nb.info/gnd/4023222-0","","BASISKLASSIFIKATION: 89.50, BASISKLASSIFIKATION: 24.02, BASISKLASSIFIKATION: 20.30","","","","","","http://data.onb.ac.at/dtl/6918013, http://data.onb.ac.at/dtl/6918426, http://data.onb.ac.at/dtl/6918783, http://data.onb.ac.at/dtl/6918067, http://data.onb.ac.at/dtl/6918138, http://data.onb.ac.at/dtl/6918282, http://data.onb.ac.at/dtl/6918537, http://data.onb.ac.at/dtl/6918655, http://data.onb.ac.at/dtl/6918866, http://data.onb.ac.at/dtl/6918936, http://data.onb.ac.at/dtl/6918252, http://data.onb.ac.at/dtl/6918189, http://data.onb.ac.at/dtl/6918305, http://data.onb.ac.at/dtl/6918343, http://data.onb.ac.at/dtl/6918766, http://data.onb.ac.at/dtl/6918088, http://data.onb.ac.at/dtl/6918396, http://data.onb.ac.at/dtl/6918493, http://data.onb.ac.at/dtl/6918822, http://data.onb.ac.at/dtl/6918181, http://data.onb.ac.at/dtl/6918469, http://data.onb.ac.at/dtl/6918598, http://data.onb.ac.at/dtl/6918690, http://data.onb.ac.at/dtl/6919924, http://data.onb.ac.at/dtl/6919857, http://data.onb.ac.at/dtl/6919889, http://data.onb.ac.at/dtl/6918977, http://data.onb.ac.at/dtl/6919515, http://data.onb.ac.at/dtl/6919982","AC13361018"
"990049639970603338","+Z171377009","F 015703-B","ALT FLUG","","","","","ger","Besondere Beilage zur Wiener Zeitung","","Besondere Beilage zum Abendblatte der Wiener Zeitung","XA-AT, XA-AAAT","","","","[Wien]","1848","","Österreich, Revolution, Quelle, Wien","http://d-nb.info/gnd/4043271-3, http://d-nb.info/gnd/4049688-0, http://d-nb.info/gnd/4066009-6","","BASISKLASSIFIKATION: 15.36","","","","","","http://data.onb.ac.at/dtl/6918788, http://data.onb.ac.at/dtl/6918018, http://data.onb.ac.at/dtl/6918179, http://data.onb.ac.at/dtl/6918279","AC13364354"
"990049526250603338","+Z171377101","F 015704-C","ALT FLUG","","","","","ger","Kundmachung [Wien, 1. Mai 1848]","Die Zeit der Wahl für die Abgeordneten und ihre Stellvertreter zur deutschen National-Versammlung in Frankfurt am Main wird, um Doppelwahlen möglichst zu vermeiden, in nachstehender Weise vorgenommen, als: ...","","XA-AT, XA-AAAT","","","","[S.l.]","1848","","Wien, Wahl, Abgeordneter, Frankfurter Nationalversammlung, Geschichte 1848, Flugblatt, Revolution","http://d-nb.info/gnd/4066009-6, http://d-nb.info/gnd/4064286-0, http://d-nb.info/gnd/4000135-0, http://d-nb.info/gnd/4018128-5, http://d-nb.info/gnd/4049688-0","","BASISKLASSIFIKATION: 89.57, BASISKLASSIFIKATION: 15.60","Einblattdruck, einseitig bedr., Flugblatt: Wien, 1. Mai 1848","[1] Bl.","","Satzspiegel: 31,5 x 22 cm","","http://www.digital.wienbibliothek.at/wbrobv/content/titleinfo/1996166, http://data.onb.ac.at/dtl/6918020","AC13307162"
"990049109320603338","+Z171377204","F 015677-A","ALT FLUG","","","","","ger","Das große Ehe-Modejournal der Leichtsinnigen, oder: Spiegel für Heirathslustige","Eine Maispende zum Troste für gekränkte Herzen","Heiratslustige","XA-AAAT","C. Z. W.","","Zu haben auf der neuen Wieden, lange Gasse Nr. 737, am Eck der Wehrgasse, Druck von A. Pichler's Witwe","Wien","1848","","Wien, Amoral, Ehebruch, Prostituierte, Kritik, Flugschrift, Geschichte 1848, Quelle","http://d-nb.info/gnd/4066009-6, http://d-nb.info/gnd/4265351-4, http://d-nb.info/gnd/4013632-2, http://d-nb.info/gnd/4140334-4, http://d-nb.info/gnd/4033229-9, http://d-nb.info/gnd/4154770-6","","BASISKLASSIFIKATION: 71.25, BASISKLASSIFIKATION: 15.60","Flugschrift, wider die Unsittlichkeit in Wien: Wien, Mai 1848, Titelblatt mit Bordürenrahmen","[2] Bl.","","","","http://data.onb.ac.at/dtl/6918022","AC13106088"
"990049656050603338","+Z171377307","F 015705-B","ALT FLUG","","","","","","[Dienstliste der Wiener Nationalgarde]","Posten. Mannschaft. Dauer des Dienstes. Diesen Dienst leistet","","XA-AAAT","","","","[S.l.]","[s.a. 1848]","","Wiener Nationalgarde, Dienst, Formular, Geschichte 1848, Quelle","http://d-nb.info/gnd/3036439-5, http://d-nb.info/gnd/4217867-8, http://d-nb.info/gnd/4127137-3","","BASISKLASSIFIKATION: 89.62, BASISKLASSIFIKATION: 15.60","Titel fingiert","[2] Bl.","","Satzspiegel: 39,5 x 24 cm","","http://data.onb.ac.at/dtl/6918026","AC13370424"
"990031617490603338","+Z17137740X","F 015690-A","ALT FLUG","","","","","ger","Kaiser Ferdinand und sein Ministerium","Eine historisch-politische Abhandlung über die eigentlichen Motive der Abreise Sr. Majestät, der Bewegungen des 15. Mai dieses Jahres, des abzuhaltenden Reichstages, und der nothwendigen, baldigen Rückkehr des Monarchen in Seine alte Residenz","","XA-AT, XA-AAAT","Ottel, Michael","","Gedruckt ... von Ulrich Klopf sen. und Alex. Eurich","Wien","1848","","Ferdinand, Ministerium, Geschichte 1848, Österreich, Revolution, Flugschrift, Quelle","http://d-nb.info/gnd/118686747, http://d-nb.info/gnd/4170067-3, http://d-nb.info/gnd/4043271-3, http://d-nb.info/gnd/4049688-0, http://d-nb.info/gnd/4154770-6","","BASISKLASSIFIKATION: 89.62, BASISKLASSIFIKATION: 15.60","Flugschrift: Wien, Mai 1848, Vorlageform des Erscheinungsvermerks: Gedruckt im Mai 1848 von Ulrich Klopf sen. und Alex. Eurich in Wien","7 S.","","","","http://www.digital.wienbibliothek.at/wbrobv/content/titleinfo/1978887, http://data.onb.ac.at/imgk/AZ00493142SZ00310679SZ00850342, http://data.onb.ac.at/ABO/%2BZ180489102, http://data.onb.ac.at/dtl/6918031","AC10002138"
"990049562720603338","+Z171377502","F 015689-A.Kopie","ALT FLUG","","","","","ger","Die Grenadiere vom Getreidemarkt, oder: Feierlicher Protest gegen die Stockprügel","","Österreich","XA-AT, XA-AAAT","","","Gedruckt im Mai 1848 von Ulrich Klopf sen. und Alex. Eurich in Wien","Wien","1848","","Wien, Revolution 1848, Flugblatt","http://d-nb.info/gnd/4066009-6","","BASISKLASSIFIKATION: 15.60","Flugblatt: Wien Mai 1848, Einblattdruck, einseitig bedruckt","[1] Bl.","","Satzspiegel: 34,2 x 17,8 cm","","http://www.digital.wienbibliothek.at/wbrobv/content/titleinfo/1998996, http://data.onb.ac.at/dtl/6918038, http://data.onb.ac.at/dtl/6919101, http://data.onb.ac.at/dtl/6919103","AC13323672"
"990049566170603338","+Z171377605","F 015687-A.Kopie","ALT FLUG","","","","","ger","Herr Minister! Die durch die Constitution garantierte volksthümliche Wiederbelebung des Justizwesens durch Einführung der Oeffentlichkeit und Mündlichkeit des gerichtlichen Verfahrens ...","[Wien den Mai 1848]","Konstitution","XA-AT, XA-AAAT","","","","[S.l.]","1848","","Wien, Revolution, Flugblatt","http://d-nb.info/gnd/4066009-6, http://d-nb.info/gnd/4049688-0","","BASISKLASSIFIKATION: 15.60","Flugblatt: Wien Mai 1848, Einblattdruck, zweiseitig bedr., Das sind die braven Arbeiter! die auf den Hülferuf ihrer Brüder, der Studenten, sogleich herbeielen, um mit Blut und Leben für sie einzustehen ...","[1] Bl.","","","","http://data.onb.ac.at/dtl/6918040","AC13325366"
"990049515110603338","+Z171377708","F 015686-A.Kopie","ALT FLUG","","","","","ger","Aufruf. Die großen Ereignisse der verflossenen Märztage sind welthistorisch und haben die Sympathien von ganz Europa, namentlich unseres nach brüderlicher Einigung ringenden Deutschlands in Anspruch genommen","Wien den [] Mai 1848","konstituierende","XA-AT, XA-AAAT","Colloredo-Mannsfeld, Ferdinand <<von>>, 1777-1848, Arthaber, Rudolf","","Klopf und Eurich","[Wien]","1848","","","","","BASISKLASSIFIKATION: 15.60","Flugblatt: Spendenaufruf für Fabriken in Wien: Wien, Mai 1848, Einblattdruck, einseitg bedr.","[1] Bl.","","","","http://www.digital.wienbibliothek.at/wbrobv/content/titleinfo/1998992, http://data.onb.ac.at/dtl/6918043","AC13305976"
"990049514980603338","+Z171377800","F 015685-B","ALT FLUG","","","","","ger","Kundmachung zum Behufe der Wahl von Abgeordneten und Stellvertretern für die im Mai d. J. nach Frankfurt am Main berufene konstituirende deutsche National-Versammlung","","konstituierende","XA-AT, XA-AAAT","","","","[S.l.]","[s.a. 1848]","","","","","BASISKLASSIFIKATION: 15.60","Flugblatt: Wien, 1848, Einblattdruck, zweiseitig bedr. - Kopftitel","[1] Bl.","","Satzspiegel: 30 x 16,4 cm","","http://www.digital.wienbibliothek.at/wbrobv/content/titleinfo/2027794, http://data.onb.ac.at/dtl/6918045","AC13305913"
"990049514960603338","+Z171377903","F 015684-B","ALT FLUG","","","","","ger","Verzeichniß der Herren Wahlmänner des 13. Vorstadt-Bezirkes","","Verzeichnis","XA-AT, XA-AAAT","","","","[S.l.]","[s.a. 1848]","","","","","BASISKLASSIFIKATION: 15.60","Flugblatt: Wien, 1848, Einblattdruck, einseitig bedr. - Text in zwei Spalten","[1] Bl.","","Satzspiegel: 34,6 x 20,5 cm","","http://www.digital.wienbibliothek.at/wbrobv/content/titleinfo/2013896, http://data.onb.ac.at/dtl/6918048","AC13305861"
"990049514850603338","+Z171378002","F 015682-A","ALT FLUG","","","","","ger","Da nach der neuesten Kundmachung des Magistrates der Stadt Wien, betreffend die Wahl der Abgeordneten und Stellvertreter für die im Mai d. J. nach Frankfurt a. M. berufene konstituirende deutsche National-Versammlung, die Gemeinde Margarethen in drei Urwahlbezirke getheilt ist ...","","am Main konstituierende Margareten geteilt","XA-AT, XA-AAAT","","","","[S.l.]","[s.a. 1848]","","","","","BASISKLASSIFIKATION: 15.60","Flugblatt: Wien, 1848, Einblattdruck, einseitig bedr. - Textanfang als Titel","[1] Bl.","","Satzspiegel: 15,3 x 14,2 cm","","http://data.onb.ac.at/dtl/6918050","AC13305818"
"990049514610603338","+Z171378105","F 015681-A","ALT FLUG","","","","","ger","Verzeichniß der von dem Central-Wahl-Comite (innere Stadt sammt Vorstädten) vorgeschlagenen Candidaten für die National-Versammlung zu Frankfurt","(In alphabetischer Ordnung.)","Verzeichnis der von dem Zentral-Wahl-Kommitee (innere Stadt samt Vorstädten) vorgeschlagenen Kandidaten für die National-Versammlung zu Frankfurt","","","","","[S.l.]","[s.a. 1848]","","Wien, Revolution, Flugblatt, Frankfurter Nationalversammlung, Kandidat, Geschichte 1848, Verzeichnis","http://d-nb.info/gnd/4066009-6, http://d-nb.info/gnd/4049688-0, http://d-nb.info/gnd/4018128-5, http://d-nb.info/gnd/4131693-9","","BASISKLASSIFIKATION: 89.62, BASISKLASSIFIKATION: 89.57, BASISKLASSIFIKATION: 15.60","Flugblatt: Wien, Mai 1848, Einblattdruck, einseitig bedr.","[1] Bl.","","Satzspiegel: 17,4 x 18,4 cm","","http://www.digital.wienbibliothek.at/wbrobv/content/titleinfo/2032335, http://data.onb.ac.at/dtl/6918052","AC13305772"
"990049120050603338","+Z171378208","F 015679-A","ALT FLUG","","","","","ger","Der Artillerist und der Polizeimann","Zweigespräch zwischen die Wäschermädchen Toni und Leni","Zwiegespräch","XA-AT, XA-AAAT","Bidschof, Franz Xaver","","Gedruckt bei Josef Ludwig, Josefstadt Florianigasse Nr. 52","[Wien]","[s.a. 1848]","","Wien, Revolution, Flugschrift, Polizei, Kritik, Dialog, Geschichte 1848","http://d-nb.info/gnd/4066009-6, http://d-nb.info/gnd/4049688-0, http://d-nb.info/gnd/4154770-6, http://d-nb.info/gnd/4046595-0, http://d-nb.info/gnd/4033229-9, http://d-nb.info/gnd/4328780-3","","BASISKLASSIFIKATION: 17.84, BASISKLASSIFIKATION: 18.10, BASISKLASSIFIKATION: 15.60","Flugschrift: Wien, Mai 1848","[2] Bl.","txt","Satzspiegel: 19 x 14,5 cm","","http://www.digital.wienbibliothek.at/wbrobv/content/titleinfo/1976111, http://data.onb.ac.at/dtl/6918054","AC13112386"
"990049514150603338","+Z171378300","F 015678-A","ALT FLUG","","","","","ger","Wahre Nachricht der Ankunft Ihro Majestät des Kaisers Ferdinand I. in Sichartskirchen, und seine Abreise von da aus in 3 Wägen","","drei Wagen Sieghartskirchen","XA-AT, XA-AAAT","","","Gedruckt bei Jos. Ludwig","[Wien]","[s.a. 1848]","","Österreich, Revolution","http://d-nb.info/gnd/4043271-3, http://d-nb.info/gnd/4049688-0","","BASISKLASSIFIKATION: 15.60","Flugschrift: Wien, Mai 1848, Zwei Varianten nachgewiesen, Unterscheidungsmerkmal: Nachschrift, vorliegend: mit Nachschrift ""Nachschrift Während der Reise von Wien bis Sichartskirchen waren Ihro Majestät genöthigt 2 Mal auszusteigen, um, wie man vermuthet durch das Einathmen der frischen Luft sich einige Erholung zu gönnen!""","[2] Bl.","","Satzspiegel: 18 x 13,5 cm","","http://data.onb.ac.at/dtl/6918058","AC13305517"
